date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:52:00	382/382	---M--	200	added ('OK')	image/gif	etag:%221a4804-17e-52d86fde40500%22	http://niisku.lamk.fi/~deckplanner/kuvat/info.gif	C:/Users/nohvy/Downloads/kestopuu/kestopuu/niisku.lamk.fi/_deckplanner/kuvat/info.gif	(from http://niisku.lamk.fi/~deckplanner/)
20:52:00	27989/27989	---M--	200	added ('OK')	image/svg+xml	etag:%221a1b9a-6d55-52c6ab58374c0%22	http://niisku.lamk.fi/~deckplanner/kuvat/logo_exit.svg	C:/Users/nohvy/Downloads/kestopuu/kestopuu/niisku.lamk.fi/_deckplanner/kuvat/logo_exit.svg	(from http://niisku.lamk.fi/~deckplanner/)
20:52:02	2783/2783	---M--	200	added ('OK')	image/svg+xml	etag:%221a27d9-adf-529ab532a97c0%22	http://niisku.lamk.fi/~deckplanner/kuvat/logo_hinta2.svg	C:/Users/nohvy/Downloads/kestopuu/kestopuu/niisku.lamk.fi/_deckplanner/kuvat/logo_hinta2.svg	(from http://niisku.lamk.fi/~deckplanner/)
20:52:02	29021/29021	---M--	200	added ('OK')	image/svg+xml	etag:%221a5df7-715d-52fb8b6dd5600%22	http://niisku.lamk.fi/~deckplanner/kuvat/logo_print.svg	C:/Users/nohvy/Downloads/kestopuu/kestopuu/niisku.lamk.fi/_deckplanner/kuvat/logo_print.svg	(from http://niisku.lamk.fi/~deckplanner/)
20:52:03	313/313	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2018%20Feb%202019%2018:52:02%20GMT	http://niisku.lamk.fi/~deckplanner/Terassisuunnitelma.pdf	C:/Users/nohvy/Downloads/kestopuu/kestopuu/niisku.lamk.fi/_deckplanner/Terassisuunnitelma.18.delayed	(from http://niisku.lamk.fi/~deckplanner/)
20:52:06	470596/470596	---M-Z	200	added ('OK')	application/javascript	etag:W/%2255003d15-72e44%22	http://code.jquery.com/ui/1.11.4/jquery-ui.js	C:/Users/nohvy/Downloads/kestopuu/kestopuu/code.jquery.com/ui/1.11.4/jquery-ui.js	(from http://niisku.lamk.fi/~deckplanner/)
20:52:10	234395/234395	---M--	200	added ('OK')	text/javascript	etag:%221a1b8c-3939b-56abd7125d192%22	http://niisku.lamk.fi/~deckplanner/js/jspdf.min.js	C:/Users/nohvy/Downloads/kestopuu/kestopuu/niisku.lamk.fi/_deckplanner/js/jspdf.min.js	(from http://niisku.lamk.fi/~deckplanner/)
20:52:10	329/329	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2018%20Feb%202019%2018:52:09%20GMT	http://niisku.lamk.fi/~deckplanner/fonts/glyphicons-halflings-regular.eot	C:/Users/nohvy/Downloads/kestopuu/kestopuu/niisku.lamk.fi/_deckplanner/fonts/glyphicons-halflings-regular.1a.delayed	(from http://niisku.lamk.fi/~deckplanner/css/bootstrap.min.css)
20:52:11	329/329	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2018%20Feb%202019%2018:52:09%20GMT	http://niisku.lamk.fi/~deckplanner/fonts/glyphicons-halflings-regular.eot?	C:/Users/nohvy/Downloads/kestopuu/kestopuu/niisku.lamk.fi/_deckplanner/fonts/glyphicons-halflings-regular.1bd41d.delayed	(from http://niisku.lamk.fi/~deckplanner/css/bootstrap.min.css)
20:52:11	331/331	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2018%20Feb%202019%2018:52:10%20GMT	http://niisku.lamk.fi/~deckplanner/fonts/glyphicons-halflings-regular.woff2	C:/Users/nohvy/Downloads/kestopuu/kestopuu/niisku.lamk.fi/_deckplanner/fonts/glyphicons-halflings-regular.1c.delayed	(from http://niisku.lamk.fi/~deckplanner/css/bootstrap.min.css)
20:52:11	330/330	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2018%20Feb%202019%2018:52:10%20GMT	http://niisku.lamk.fi/~deckplanner/fonts/glyphicons-halflings-regular.woff	C:/Users/nohvy/Downloads/kestopuu/kestopuu/niisku.lamk.fi/_deckplanner/fonts/glyphicons-halflings-regular.1d.delayed	(from http://niisku.lamk.fi/~deckplanner/css/bootstrap.min.css)
20:52:11	329/329	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2018%20Feb%202019%2018:52:10%20GMT	http://niisku.lamk.fi/~deckplanner/fonts/glyphicons-halflings-regular.ttf	C:/Users/nohvy/Downloads/kestopuu/kestopuu/niisku.lamk.fi/_deckplanner/fonts/glyphicons-halflings-regular.1e.delayed	(from http://niisku.lamk.fi/~deckplanner/css/bootstrap.min.css)
20:52:12	329/329	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2018%20Feb%202019%2018:52:11%20GMT	http://niisku.lamk.fi/~deckplanner/fonts/glyphicons-halflings-regular.svg	C:/Users/nohvy/Downloads/kestopuu/kestopuu/niisku.lamk.fi/_deckplanner/fonts/glyphicons-halflings-regular.1f.delayed	(from http://niisku.lamk.fi/~deckplanner/css/bootstrap.min.css)
